Age,fnlwgt,Education-Num,Capital Gain,Capital Loss,Hours per week,Workclass,Education,Martial Status,Occupation,Relationship,Race,Sex,Country,preds
30.213594051582202,54565.449572229154,8.992718982886231,-40.230052784885984,-1.2188800251007796,39.84980884795485,Private,HS-grad,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,United-States,0.0
19.932701186387906,166045.72182190977,8.970707255020184,-148.7129449612651,-4.93944688972019,37.10656003249715,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,0.0
37.772586437621385,214550.42270248066,8.958666269084594,99.02102545121086,-5.773376241203982,58.19421138727658,Private,Bachelors,Divorced,Farming-fishing,Husband,White,Female,United-States,0.0
40.691992173055176,220774.38639822777,9.026007355635764,-36.2319073904791,-0.8539803374189022,40.19810895740627,Private,HS-grad,Separated,Priv-house-serv,Unmarried,White,Female,United-States,0.0
49.61943945579624,76154.55351947255,2.3503390097358685,-135.6046063663504,-1.1900438836529583,42.76518021063387,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Female,Japan,0.0
49.27013345633982,206133.75305634082,9.056781884115601,30.43407799974198,-1.3781597749781622,39.963667478887594,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,0.0
17.390188753253163,102817.98028492508,9.922847552260961,933.5615015942576,-3.822643015763878,40.00649630220731,Private,Prof-school,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,Nicaragua,0.0
31.855620405406754,49907.99968444425,10.9884112728115,-81.43697827470277,-1.7415110936502856,37.800635253144634,Private,Some-college,Separated,Tech-support,Not-in-family,Black,Female,United-States,0.0
46.77868222052529,178189.1516723382,11.68613554097805,1523.361567848101,1.5964514861552646,40.05622438350564,Private,HS-grad,Divorced,Craft-repair,Husband,White,Male,United-States,0.0
38.03372559029118,168929.99131990122,12.945690583596065,9.981421364099011,-2.5048292301906083,40.067489145302496,Private,Bachelors,Divorced,Other-service,Other-relative,Asian-Pac-Islander,Male,United-States,0.0
