priors_count,c_charge_degree,race,age_cat,sex,preds
-0.5990639152841899,F,Caucasian,25 - 45,Female,1.0
7.004761811050934,F,Hispanic,Greater than 45,Female,1.0
-0.31833812668038863,F,Caucasian,Greater than 45,Female,1.0
-0.5097600173677217,M,Caucasian,Greater than 45,Female,1.0
3.615190057908386,F,Other,Greater than 45,Female,1.0
2.0817600390507964,F,Caucasian,Less than 25,Male,1.0
-0.8492414279885322,M,Hispanic,Greater than 45,Female,1.0
4.119405114747882,M,Caucasian,25 - 45,Male,1.0
2.845869467683032,M,African-American,25 - 45,Female,1.0
-0.8791320606609845,M,Caucasian,Less than 25,Female,1.0
-0.30388471388360294,F,Caucasian,25 - 45,Female,1.0
0.6107171168368773,M,Asian,Greater than 45,Female,1.0
-0.8735030588195235,F,African-American,Less than 25,Female,1.0
-0.6423073739290945,F,Caucasian,25 - 45,Male,1.0
-0.3277734940557057,F,Hispanic,25 - 45,Female,1.0
1.585057414194818,M,Hispanic,Greater than 45,Male,1.0
4.026766206114987,M,African-American,25 - 45,Female,1.0
2.0983854739471797,M,African-American,Greater than 45,Male,1.0
-0.9426114991839483,F,Other,25 - 45,Female,1.0
1.0557004553728229,M,Caucasian,Greater than 45,Male,1.0
0.6353180230168004,M,Asian,25 - 45,Male,1.0
1.498975882391091,F,Hispanic,Less than 25,Female,1.0
0.6594297751316828,M,Hispanic,25 - 45,Female,1.0
-0.4465617632062051,F,Hispanic,25 - 45,Female,1.0
3.010822182093339,M,Caucasian,Less than 25,Female,1.0
5.798131290663893,M,Asian,Less than 25,Male,1.0
1.955714325880654,F,Caucasian,Greater than 45,Female,1.0
-0.2820742033750826,M,Asian,Less than 25,Male,1.0
-0.7860655240574084,M,Caucasian,25 - 45,Female,1.0
-0.49837164954701957,F,Hispanic,Greater than 45,Male,1.0
-0.6478109018209169,M,Other,Greater than 45,Male,1.0
2.101170002568408,M,Caucasian,Greater than 45,Female,1.0
2.497160918071288,F,Caucasian,Greater than 45,Male,1.0
1.135298580874259,F,Caucasian,Greater than 45,Male,1.0
0.28628440386310083,M,Hispanic,Greater than 45,Male,1.0
2.776177437380606,M,Caucasian,25 - 45,Female,1.0
2.688487549519343,F,Hispanic,Greater than 45,Male,1.0
32.794821844040044,F,Caucasian,25 - 45,Male,1.0
-0.18774897870789897,M,African-American,25 - 45,Male,1.0
0.749222465575328,F,African-American,25 - 45,Male,1.0
0.3730976051069659,F,Other,25 - 45,Female,1.0
1.1770301475199987,M,Caucasian,Greater than 45,Female,1.0
2.903776393801596,M,Caucasian,25 - 45,Female,1.0
8.952433845408121,M,Caucasian,25 - 45,Female,1.0
2.1650196271989106,F,Other,25 - 45,Female,1.0
0.18938244518077346,F,Caucasian,25 - 45,Female,1.0
-0.5171957359310005,F,Other,25 - 45,Male,1.0
-0.5832466147935973,F,Caucasian,25 - 45,Male,1.0
-0.631066023989101,M,African-American,25 - 45,Female,1.0
-0.5364322523052211,F,African-American,25 - 45,Female,1.0
1.0315685551291023,M,Asian,Less than 25,Female,1.0
3.498657133208969,F,Caucasian,25 - 45,Male,1.0
2.7144605718810424,M,Caucasian,25 - 45,Male,1.0
2.888960625302758,M,Caucasian,Greater than 45,Female,1.0
0.9731125202909539,M,Caucasian,Greater than 45,Male,1.0
0.19902766210100475,M,African-American,25 - 45,Female,1.0
