Age,fnlwgt,Education-Num,Capital Gain,Capital Loss,Hours per week,Workclass,Education,Martial Status,Occupation,Relationship,Country,Sex,Race,preds
56.520043855882435,51286.87469538117,9.982067044995553,-29.286863064014234,-2.266047496883674,51.16362667630795,Self-emp-not-inc,Prof-school,Married-civ-spouse,Transport-moving,Husband,United-States,Male,Asian-Pac-Islander,1.0
31.380456621212204,403141.2999215568,9.992005278329355,88.49457322072703,3.8350862462487303,40.04926559801464,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,India,Male,White,1.0
34.08021632732502,147767.71670163012,10.018076062397895,-69.4279107860287,-0.5660354950007563,40.22763014488439,Private,Doctorate,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
29.32156233286771,384133.5102801582,7.500048455266808,-59.4955645892889,-5.184748692389101,40.24886088405107,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Haiti,Male,White,1.0
51.02214198678655,150001.66512285644,3.4159741799150396,29.045652017224963,1.3570293981327173,40.049675894126885,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
39.87652230702227,153182.45514406107,8.922431335178226,7.943764275550759,1669.9242150968234,58.718400552480254,Local-gov,Prof-school,Married-civ-spouse,Transport-moving,Husband,Taiwan,Male,White,1.0
57.45329480824132,270863.6624578739,10.007298100968343,-61.35959685312337,-4.703184147119049,51.00474767385978,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,India,Male,White,1.0
42.24614657400594,260920.71849231585,16.01793777402958,-14.555579985143996,-0.1476630452596915,40.09040383355165,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,Hong,Male,White,1.0
43.75929500578178,115023.02564325964,9.9813449192118,99.57160483213237,3.075176642937699,40.18195991713041,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,England,Male,White,1.0
44.31707911687272,30199.42928165425,15.917543817192383,-40.76343396466049,2.1450320292501965,78.56030321244388,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Philippines,Male,White,1.0
38.703485289607485,194335.93876562474,13.035181120037736,-53.03985351249669,0.8288228041234261,39.90057667146792,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,United-States,Male,White,1.0
80.8198855743912,200151.4585052119,10.025773029005423,-21.246865939679388,1.8473724324986713,38.61850197900239,Local-gov,9th,Married-civ-spouse,Prof-specialty,Husband,Portugal,Male,White,1.0
39.84878992409317,142194.35115063825,8.980958745851499,52.63346865143098,0.7806336799157941,37.59513866131368,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Husband,United-States,Male,White,1.0
38.06939851601716,206541.51366555164,11.066580525420504,-45.59754225413084,-4.565335273102988,50.12382411522927,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,United-States,Male,White,1.0
82.72496286693656,258062.74203068612,4.450803623435902,61.46795356002648,-3.417660258428892,40.11049232185504,Self-emp-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Columbia,Male,White,1.0
21.102222679191097,294833.6950277153,15.920370089513291,117.87331838686121,0.7759848474874106,40.05078222269804,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Canada,Male,White,1.0
59.994503607191334,193071.64454397195,12.972750839773347,-11.95493553679851,-4.294071577891581,40.112134432335175,Local-gov,Bachelors,Married-civ-spouse,Sales,Husband,United-States,Male,White,1.0
50.567185646382896,166755.4814933754,9.009637613694252,-50.9729733037446,-2.461754095884967,45.50792327281704,Self-emp-not-inc,Masters,Married-civ-spouse,Handlers-cleaners,Husband,United-States,Male,White,1.0
39.53276755688872,163338.9108238949,3.519073767132018,4.528671960758098,-2.966905591757742,21.341490326297475,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
33.04437828793199,306856.2168069456,13.163844842931772,-30.996565660610067,2.004300938114024,40.035207531814166,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,Haiti,Male,White,1.0
37.53835300119136,174023.3716649486,9.00557373701824,-44.73327637224293,-3.0806974939819534,40.15209395453191,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
82.69207954225942,114194.29940609759,9.011350014757678,-30.014773472124006,-2.616332495554688,40.25034531200288,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,United-States,Male,White,1.0
57.844508469486826,143844.66421371803,8.980987755571531,-34.42935030397072,-2.153511882029783,40.2873135048916,Local-gov,Masters,Married-civ-spouse,Transport-moving,Husband,United-States,Male,White,1.0
71.37852876250668,212963.0527499408,11.09755458228593,5.8743161838375135,5.810454294277707,40.19858382275611,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Husband,Mexico,Male,White,1.0
42.272169686479685,16385.555166440765,10.009264695082098,15.950609942003014,-2.8939155025087615,51.69877966632147,Self-emp-not-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
43.22066238970037,63139.715896256006,12.981685074517655,-12.851438666795064,1.297136259944287,40.017686372731504,Private,Bachelors,Married-civ-spouse,Sales,Husband,China,Male,White,1.0
66.23216943615074,94309.17714580511,15.54066275502429,-18.1574885003465,-3.1883617355516227,40.13298218044733,Private,Bachelors,Married-civ-spouse,Sales,Husband,Philippines,Male,White,1.0
56.31047027053267,348287.52511810086,9.019425654726833,44.68712570374399,1.2346280985393832,40.17212810709946,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,India,Male,White,1.0
45.30958116253656,225099.02086109278,5.559815204230189,-47.33238068317227,4.260762353902346,40.1095290265137,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
35.6450075104502,338382.9827191632,5.259466906348088,39.54458317680333,-0.21236035725861163,39.731005527930755,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
32.7809407820085,291612.77463654906,12.973288082928745,4.3293505356164355,2.9552065802041922,45.036389278773036,Self-emp-not-inc,Prof-school,Married-civ-spouse,Craft-repair,Husband,Taiwan,Male,White,1.0
49.29334761883764,187524.01880156604,9.065582817959047,-6.377204969404744,-1.0322030691861441,40.13215250797285,Self-emp-not-inc,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Germany,Male,White,1.0
45.629984477892705,175162.69251944442,9.009393025196456,13804.065119072497,0.3813381841434025,40.22259373577685,State-gov,HS-grad,Married-civ-spouse,Sales,Husband,United-States,Male,White,1.0
57.631827725249295,182456.94329303975,13.10332801740404,28.212919461665116,2.2487243744567995,45.70000712744014,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,China,Male,White,1.0
47.586002885959346,148484.19070889842,9.084095898462095,33.93218026582852,-1.3183097893295528,50.99783548215334,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Cuba,Male,White,1.0
33.56150897328689,121070.32882375398,3.566589087460602,-7.371382923246116,-2.6277665733241613,57.24791797927255,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,China,Male,White,1.0
43.65463471344267,36154.03497158409,10.023866887776865,8.18887813259832,1560.358881089336,40.01916499583983,Federal-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Trinadad&Tobago,Male,White,1.0
34.485636423759175,417166.3595676773,12.944551092921872,21.932884751606405,-3.100240730805218,40.153063492009224,Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,England,Male,White,1.0
83.5878575091357,336564.359420084,9.02211661505006,15531.975423542617,-3.514593487829908,40.21987816654461,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,Husband,India,Male,White,1.0
70.11354066847407,76716.90237010487,14.031604477031747,3.55170010620431,-2.7305350195487037,40.02901553656589,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Husband,Vietnam,Male,White,1.0
38.71594586079864,193334.63987272128,12.984565947738563,-54.34413665417814,0.8433236097528204,40.1269509823646,Private,Some-college,Married-civ-spouse,Other-service,Husband,United-States,Male,White,1.0
48.539017258727526,244364.60538386152,11.984363836235666,-6.384774843531869,-0.6692327243158194,40.22425628753743,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
53.73809195100414,43893.67489904679,4.277462086953185,-24.292683159092217,-2.600657878752185,40.22325125219893,Private,Doctorate,Never-married,Protective-serv,Husband,China,Male,White,1.0
37.02757252587972,84027.7093594126,9.047859431252418,-51.78255640921866,1.8229027692708382,40.0839012255872,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Philippines,Male,White,1.0
50.62159299773666,77937.55456125285,13.046122594928793,2648.9106413533354,2.6163092987802545,40.18220486952134,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Own-child,Italy,Male,White,1.0
40.50155005568547,261455.5750942786,8.956037586194189,12.505823086739715,0.636839017160623,40.1079941727354,Private,5th-6th,Never-married,Exec-managerial,Husband,China,Female,White,1.0
51.73896535692378,217198.03516938208,9.091237769729599,-74.22184518335938,2.703656869275772,51.02879264582817,Private,Prof-school,Married-civ-spouse,Craft-repair,Husband,France,Male,White,1.0
35.4842905374442,180849.9810757735,9.015176605056288,93.00836057113064,-5.008445834710645,45.79807102454113,Self-emp-not-inc,Doctorate,Married-civ-spouse,Protective-serv,Husband,Dominican-Republic,Male,White,1.0
49.33722262242146,70680.65655473285,13.014520295514005,16.083404341640097,-0.4180977486187336,40.067989617986264,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Cambodia,Male,White,1.0
41.338009579237124,129849.26650848046,9.999507499103553,0.3822176270069283,-3.0474747985522126,39.98595382819882,Self-emp-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,United-States,Male,White,1.0
27.165633616840033,50231.12900305182,12.947901340324082,4.555577470330905,-0.9763621304085044,45.30720623084416,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,Cambodia,Male,White,1.0
52.59067367582818,230007.52160092522,10.0139755626108,14341.802602164185,-0.34042359087468116,40.26102642979868,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,China,Male,White,1.0
52.04380196195934,161845.8702211285,9.037759335193295,-39.153737624286556,2.5740719653436503,40.2091660952998,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,United-States,Male,White,1.0
38.11639633010363,161802.2640434318,9.021035503708806,66.92678107618951,1.2620625585678482,49.62390240804746,Private,Prof-school,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
36.59327055800208,269739.21650431264,13.89297863509494,-31.48864153960457,2.905108240688593,40.207353818019385,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,Husband,Iran,Male,White,1.0
58.197439526652346,98845.89106789813,9.031280530057648,-26.548838358148327,-3.681649077023042,39.999743316490985,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
66.81907019980814,180554.69728448923,10.009153716500107,-39.42044203591985,-3.6874433144562353,40.20889711754484,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
53.66918853082441,184453.7094954779,10.039774304324514,-84.82653639458354,-2.324771377164588,40.22492170952184,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,United-States,Male,White,1.0
42.48681366898606,183997.7036565187,14.148756437506544,6251.961966880266,1.2194737958141428,40.088150576802406,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,Germany,Male,White,1.0
43.579579472899134,473495.7166280106,9.058288047010546,-40.94581387822453,1694.9938436387881,43.69646396710687,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Italy,Male,White,1.0
30.47736601898124,339783.93683775165,13.00641881281882,-31.512817747967798,-0.8638901577896008,40.011305555013514,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,India,Male,White,1.0
44.85404049238488,175431.3931626554,9.023266185544657,38.03778776117957,0.7265834163157505,72.54268639997119,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,China,Male,White,1.0
24.82744579688739,266585.5701296898,8.995855189763803,-18.298430819275552,-3.5111135511174596,40.15657927220603,Private,HS-grad,Widowed,Craft-repair,Husband,United-States,Male,White,1.0
50.09566535328829,177489.67540583274,9.986776298456629,148.79160860859892,-3.0180317274975605,39.96194171692587,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Cuba,Male,White,1.0
49.91620637002601,100663.12085620724,9.024460794457775,-21.879493179643458,2.0561419365518794,39.99635905248033,Federal-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Ireland,Male,White,1.0
44.63877667717331,37692.51227041643,9.046564821622496,-72.6011783256981,-2.230423574753694,40.09868630770586,Local-gov,Prof-school,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
72.79003372114164,232537.1430490723,9.018966594836996,40.729142354265896,0.6697627493108862,59.52284194971837,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,South,Male,Amer-Indian-Eskimo,1.0
81.95477509604382,137813.83405057335,4.359015976168825,-7.176828519587704,0.9267451787327784,40.07387786429563,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,China,Male,White,1.0
51.776568841415425,146552.7101070534,13.820278005336666,-33.69933306685707,-3.036527092334675,40.09465193290991,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Iran,Female,White,1.0
70.25294919787987,102564.65935588218,3.476043770924249,37.57197912327099,4.459819121546699,39.85206800386556,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Mexico,Male,White,1.0
70.30242953196947,193081.4154738942,9.016276722969822,6353.089634431283,3.919394925894427,40.07212282088561,Private,Prof-school,Married-civ-spouse,Transport-moving,Husband,Thailand,Male,White,1.0
57.50565695916287,148667.88923403394,8.990832621700278,-51.09392542882611,-1.7729526343668507,40.13732379180418,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Cambodia,Male,White,1.0
65.11130803266872,256780.28375159367,15.26469996465429,6.9417913505752855,1.0198237583597372,40.2775911037275,Private,Masters,Married-civ-spouse,Protective-serv,Husband,United-States,Male,White,1.0
41.814846465610216,273999.87281043344,9.009705828536534,25.047121588464044,-0.41606913944309704,40.15014577360419,Federal-gov,HS-grad,Widowed,Prof-specialty,Wife,Puerto-Rico,Male,White,1.0
45.59662206166951,153455.38896223385,9.03989830750802,37.41077017557355,-1.3086858415997529,39.97558930909608,Private,Masters,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
38.09778321888939,136420.94586456928,10.022339092069247,48.71946214878936,2.800782577631384,72.40535634601878,Self-emp-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,Jamaica,Male,White,1.0
73.98195474174572,47427.06112101651,13.067968530052639,30.670913618177746,1918.8582892711756,45.631365332342334,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
42.421743153313095,197278.82858022,12.953583030903111,16164.473425984577,5.081031080741886,50.36854879067611,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,United-States,Male,White,1.0
45.440669560142204,185074.9612111421,9.012384507052923,29.05406748602961,3.8730385428294682,62.7488775432334,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,India,Male,White,1.0
45.02589073537884,209220.21939758473,8.988797847756787,-51.97354924510223,1554.3437927279356,59.06119683529079,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,England,Male,White,1.0
41.381877617741466,149290.73513810552,16.504033325721526,-30.1303232690381,3.0160849829768743,39.96016039309447,Self-emp-inc,Masters,Married-civ-spouse,Transport-moving,Husband,United-States,Female,Black,1.0
74.25771502006242,302899.0230109939,7.8791270377762785,13783.438739710657,-0.1564499682452711,12.205983208816724,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,United-States,Male,White,1.0
62.82357419230487,107179.04070265451,13.089912033473672,-21.03164358298357,2.7448204598989956,40.140017642175934,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Canada,Male,Asian-Pac-Islander,1.0
