,Age,fnlwgt,Education-Num,Capital Gain,Capital Loss,Hours per week,Workclass,Education,Martial Status,Occupation,Relationship,Race,Sex,Country,preds
0,22.61799056699706,208105.89008967386,6.900962314152697,13634.285377444585,-2.268913349655963,37.39194039086596,Private,Masters,Never-married,Tech-support,Own-child,Black,Male,Cuba,0.0
1,24.236778505179444,79544.9717006947,8.982443131574263,89.56946527849182,1578.1515155054058,40.220977917734444,Private,12th,Widowed,Tech-support,Not-in-family,White,Female,Cuba,0.0
2,21.66199882718021,396392.6007784815,8.989065621467985,-61.97024655248217,-4.676302946165189,46.643055189814426,Private,Assoc-voc,Widowed,Other-service,Own-child,White,Male,Haiti,0.0
3,33.27492182825107,223909.2069008987,9.003770218008352,-0.04410941069425445,4.311768327444436,40.0438987168823,Private,9th,Never-married,Sales,Own-child,White,Female,Mexico,0.0
4,30.041558059808523,240196.3887667608,10.029134954460229,29.217473348751184,-3.189712387211159,40.19491286227624,Private,7th-8th,Never-married,Machine-op-inspct,Husband,Black,Female,Guatemala,0.0
5,17.574122480010054,418844.86908930563,14.17562319488506,-116.01770877090684,-2.315922112708947,50.372150933820265,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Female,Mexico,0.0
6,17.94832197758845,458592.8282010852,9.996664709347252,-81.32582113195257,-4.430709209762504,40.131289077896064,Private,HS-grad,Widowed,Sales,Unmarried,White,Female,Honduras,0.0
7,26.50136477326058,122399.65135508504,9.995361577601665,21.777987582901996,1668.4280060145065,40.19471099173405,Private,9th,Married-civ-spouse,Other-service,Not-in-family,White,Male,El-Salvador,0.0
8,38.13930899356774,114106.73794412517,1.1859431014714241,4.46605589612391,-4.407258225647507,39.99145103585546,Private,Masters,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,Outlying-US(Guam-USVI-etc),0.0
9,26.41498268265806,120833.5490072052,13.014088912166763,4.035761766414591,-2.5095707230293223,40.010332245352785,Private,9th,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States,0.0
10,37.35391956798287,541159.9771131233,12.969700291637551,26.38127189205326,-1.6555541516004937,21.415401885072836,Private,Some-college,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States,0.0
11,18.147234289206562,134876.27568086894,8.937667881506144,-36.553306229113076,-1.650389504288692,39.899468512045715,Private,HS-grad,Never-married,Tech-support,Not-in-family,Black,Female,Mexico,0.0
12,67.15522722339954,56173.213349493446,9.982770130499986,-18.423043152851996,-3.9572658209769314,30.662156842461528,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Black,Female,United-States,0.0
13,16.317314576204595,237150.84432281574,1.2356534827619647,-33.113148892026985,-3.351267911422805,34.697107683566024,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,Laos,0.0
14,23.863999007212293,159540.81770823617,10.02457631004532,55.09873128819625,-2.7542535989359247,35.00150658259813,Federal-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Portugal,0.0
15,18.416332290723727,231450.05227908253,14.071153830873673,-71.97189967901492,-1.306567504040254,16.1775074861162,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Black,Male,United-States,0.0
16,26.94307013396807,111566.18469676009,14.083828149780862,78604.09568518745,-2.278747165972904,49.8992966505819,State-gov,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,Scotland,0.0
17,48.15131151287175,427860.61399991805,10.90649684298089,0.9638880968954564,-1.7195509492771854,46.16727478647881,Private,10th,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,United-States,0.0
18,22.405279817267722,295698.0708629385,14.239224757475451,-71.76243142251674,-5.7329408592293,35.46604562557802,Local-gov,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Female,Outlying-US(Guam-USVI-etc),0.0
19,17.948409223321782,72466.77594549082,8.981092599275003,-98.4215617100935,-5.42167285995548,49.81766520506085,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,El-Salvador,0.0
20,36.67576964612369,274882.6239871243,7.102859417944751,-62.958414493934484,-4.460832800647257,13.545221216919945,Private,HS-grad,Never-married,Sales,Own-child,Black,Female,United-States,0.0
21,36.94467793114505,136514.90082664695,13.013558724007527,115.16827753513581,-5.68507649579213,24.076421307381317,Private,9th,Never-married,Adm-clerical,Own-child,White,Male,United-States,0.0
22,33.57804342800996,142338.3441817456,4.4517405975797875,-12.424763322578249,-2.6849238900112087,54.53100315566819,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,Philippines,0.0
23,40.56007785105288,182752.3295844152,12.094556439928548,10.928877947637242,-2.740236985385213,32.724484100673465,State-gov,9th,Separated,Sales,Not-in-family,Other,Male,United-States,0.0
24,36.5936725732953,332105.2115164038,10.002058397009034,-80.03341438953838,-1.1418006843373072,37.09769860246957,Private,HS-grad,Widowed,Farming-fishing,Unmarried,Black,Male,United-States,0.0
25,41.705823417453814,135667.240875881,8.967434902450401,-48.84761434185063,-4.115638404136714,40.10830717351473,Private,Bachelors,Never-married,Prof-specialty,Unmarried,White,Female,United-States,0.0
26,49.91971744886854,254157.52409379528,9.035691422509005,4900.3901315216735,2.609944392890111,40.04873485561057,Private,11th,Married-spouse-absent,Sales,Not-in-family,White,Male,El-Salvador,0.0
27,54.98809974554654,376733.92926365766,15.673650705550656,5.50266944363541,1.6046311197080692,39.98271431850554,Private,Masters,Divorced,Sales,Other-relative,White,Male,United-States,0.0
28,20.51894817530883,273036.99843262456,12.987838660368427,-58.182544564338826,-0.4322750248132651,58.64661740999892,Private,HS-grad,Divorced,Exec-managerial,Husband,White,Male,Laos,0.0
29,25.43408677484101,183409.69835455646,13.07132085715772,-17.70875924154648,-2.3695600195223303,40.07826310333741,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Female,Mexico,0.0
30,44.18669064149466,89547.83542555268,13.019418984709466,-43.83976232652154,-0.23325415369889466,37.08705134512126,Local-gov,Masters,Married-civ-spouse,Tech-support,Not-in-family,White,Female,India,0.0
31,33.054516396155144,125678.36592547795,8.975961796086903,-99.6662869976425,-4.493575762229219,50.18311859052388,Private,Bachelors,Married-civ-spouse,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,Portugal,0.0
32,56.109117336643074,157822.9561956218,9.045893677023223,28.532193615452737,-6.098213924262209,46.07315981342184,Private,11th,Never-married,Adm-clerical,Not-in-family,White,Male,India,0.0
33,61.58278459199775,146995.99302735034,9.004444196639268,52.54987437505476,-2.1425990821974246,40.15591542707347,Private,HS-grad,Married-spouse-absent,Sales,Not-in-family,Other,Female,United-States,0.0
34,15.127167825720655,96863.44119109909,3.2269294968223474,14.260439922210997,-3.48982281108307,36.27970183060994,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0.0
35,28.244847079878753,43550.06772746734,9.982846782677775,-99.91009664320045,-6.252444689597043,40.06538865333576,Private,HS-grad,Widowed,Transport-moving,Unmarried,White,Female,United-States,0.0
36,32.80569753224596,169057.51531354804,11.856421656262496,-44.83407901944189,-2.200482083224656,37.01068512578024,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States,0.0
37,21.297867505139088,209776.6238682894,13.860252638066685,-58.070022807383914,-3.161686196977916,36.69497218833487,Local-gov,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,Vietnam,0.0
38,19.989455730212008,144112.11648197647,12.88507123479613,-116.98031022744965,-1.0260898389113842,39.836381930936255,Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0.0
39,28.769742248153623,218602.48962896576,9.942471559459499,-8.406126747948036,1.1295554879544547,69.32638773278173,Federal-gov,Some-college,Divorced,Other-service,Own-child,White,Female,United-States,0.0
40,46.1803581997412,124280.84955755588,8.985980449781803,-86.68787993303806,-7.692012825695148,39.771219454882534,Private,10th,Never-married,Transport-moving,Unmarried,White,Male,Columbia,0.0
41,28.698105221904598,46817.76955316031,8.95400427861385,-56.87724400462012,-2.75878472114468,8.885473301423586,Private,HS-grad,Divorced,Other-service,Own-child,White,Female,El-Salvador,0.0
42,59.727120823010175,87860.84677236568,7.012102365758217,14135.637662830219,0.5417694589291618,39.91992344051543,Private,Some-college,Divorced,Sales,Not-in-family,Black,Female,Poland,0.0
43,70.67836227097357,154682.32238589268,14.136260464307222,21.630079899467088,-1.2972296834467532,34.98496812483606,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,Jamaica,0.0
44,57.27985972994342,79763.75963106865,5.305230602627988,68.48829118619301,-0.9939279363711738,50.494318688376595,Private,Some-college,Never-married,Sales,Unmarried,White,Female,El-Salvador,0.0
45,58.13276666606342,202015.525471389,14.98887975738243,42.4556582519521,-5.147480877329739,39.91788211771997,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Female,United-States,0.0
46,17.859000177902022,124750.20975308315,10.863631723917194,-10.228329188465045,-0.5710425310276318,23.396689631545502,Self-emp-not-inc,Bachelors,Divorced,Craft-repair,Husband,White,Female,China,0.0
47,19.8622551923923,19200.508266620942,13.049073216000671,-76.86592673380241,-3.8286827844299913,39.94784718112405,Private,9th,Never-married,Handlers-cleaners,Not-in-family,White,Female,United-States,0.0
48,42.79262498768456,415118.9141980825,8.974675647413552,-91.14742681023178,-2.912577130985148,19.89740628623586,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,Black,Male,United-States,0.0
49,19.684869651020875,30070.289088628444,12.941517837911528,-19.646755269841314,-3.648119644426546,40.05862114664869,Private,11th,Never-married,Tech-support,Husband,White,Male,United-States,0.0
50,27.552146293508656,101645.89682900312,9.965429322505987,-92.07880666811928,0.794509186711842,2.0360016924993882,Private,11th,Widowed,Other-service,Wife,Black,Female,Guatemala,0.0
51,46.722135686449754,148054.30857689603,12.92306077490108,-59.768918493990824,1425.6573502392232,70.07105734712184,Private,Bachelors,Married-civ-spouse,Tech-support,Not-in-family,White,Male,United-States,0.0
52,18.484304677365895,302964.2672033444,9.934405772582553,28.63145626318868,-3.0472967305197822,35.78766437707061,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,United-States,0.0
53,38.86804104146104,114268.10356326673,4.132045006598798,-20.246983198151238,-2.0125492725680636,40.19069093542442,Private,5th-6th,Widowed,Prof-specialty,Not-in-family,White,Male,United-States,0.0
54,23.183718728387785,262145.9665485869,2.4413242966263065,2173.7627680656774,1427.5062122228562,30.082857389041365,Self-emp-not-inc,1st-4th,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,Dominican-Republic,0.0
55,30.717467891122155,90168.50513368088,1.9910483583050547,-24.5764545609877,-0.3265214254766875,39.9717574118819,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,Black,Female,United-States,0.0
56,23.813448638348806,208359.59414640715,13.037533003695664,20.784334339080317,-1.2800547578828132,40.103538553166196,Private,Doctorate,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,0.0
57,45.99441286072101,332680.6392241318,9.971769480391357,-25.078103036169235,-1.1272861088793984,61.68749514283053,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,United-States,0.0
58,23.890753056662845,101174.03098134647,9.988591064976456,-83.99374741279657,-5.164120586978462,39.959905719856316,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Male,Puerto-Rico,0.0
59,42.35897159209206,303825.3595657468,15.828029303288622,2.667507587980491,-3.4962934183426744,39.9945468177471,Private,Some-college,Separated,Transport-moving,Not-in-family,Black,Male,Dominican-Republic,0.0
60,21.766811426377892,235130.07648745363,3.883946645906466,17.331206177205036,1740.9261293793736,20.040828969650025,Local-gov,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,Peru,0.0
61,27.83989233410872,211305.3875632257,13.075827909931302,-16.35720383997982,-7.006678159762073,40.007924312837915,Private,HS-grad,Married-civ-spouse,Prof-specialty,Own-child,White,Male,United-States,0.0
62,37.4144608122109,12378.988955351262,12.908222614788558,60.87495608733052,-2.8174016261299,46.45657384169744,State-gov,HS-grad,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,China,0.0
63,33.50335432606704,101451.32691151265,9.006170860390508,-38.71434950036906,-5.25873997228066,40.169005264129446,Local-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,0.0
64,24.985068329459537,155061.25870503194,12.981810077324939,15.349793723965046,-7.573516104852839,36.6039562552816,Private,10th,Never-married,Other-service,Not-in-family,White,Female,United-States,0.0
