<50k,=>50k,Age,fnlwgt,Education-Num,Capital Gain,Capital Loss,Hours per week,Workclass,Education,Martial Status,Occupation,Relationship,Race,Sex,Country
0.0005779300699941814,0.9994220733642578,94.12280603737415,620502.382730578,16.584323686044243,47987.332558498594,1749.0665947419318,23.811521288642396,Private,Masters,Widowed,Other-service,Unmarried,Other,Male,Italy
0.0005735696176998317,0.9994264841079712,55.75287146278936,1153566.178190483,12.078131614803635,34484.825212041076,2868.774204112286,36.91504671595027,Self-emp-inc,12th,Married-spouse-absent,Armed-Forces,Other-relative,White,Female,Hong
0.0004721212317235768,0.9995279312133789,71.02796114811386,1023103.6112124538,12.638542736935227,62450.71304616261,1067.04923063212,5.04293346164939,Self-emp-not-inc,HS-grad,Married-spouse-absent,Handlers-cleaners,Husband,Other,Male,Cuba
0.0005724718794226646,0.9994275569915771,45.55429347372396,396772.45839725365,8.809909205961228,87602.54370558224,332.3165414236845,82.76815437103907,Self-emp-inc,Some-college,Separated,Tech-support,Wife,Asian-Pac-Islander,Male,France
0.0005696648731827736,0.9994303584098816,81.49594334378635,432210.9449646786,2.7747125247782867,48881.53150956622,1893.0941385375868,70.24822611679156,Private,Masters,Married-AF-spouse,Transport-moving,Husband,White,Male,Ireland
0.000577922910451889,0.9994220733642578,26.773662018539248,1493786.1385369434,12.094042871650393,115940.86011495716,1026.8530678975983,33.58079469595171,State-gov,Doctorate,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,Hungary
0.0005127991898916662,0.9994871616363525,68.01396655188337,532188.050827818,10.33583042534766,57395.05877412472,4470.46143872433,28.210411606935605,Self-emp-not-inc,HS-grad,Divorced,Priv-house-serv,Unmarried,White,Male,Cuba
0.0005664751515723765,0.9994334578514099,59.09775815320888,1398877.7644328838,6.708142835835423,85550.72962930937,3651.7337527194813,11.538644512417783,Local-gov,7th-8th,Married-spouse-absent,Exec-managerial,Husband,Asian-Pac-Islander,Male,Puerto-Rico
0.0005472001503221691,0.9994527697563171,58.24567807876817,732305.6792929638,17.03993159596819,72749.80925447197,4248.429355821382,14.687811518139746,Self-emp-inc,Preschool,Married-spouse-absent,Protective-serv,Husband,Black,Male,China
0.0005677492590621114,0.9994322657585144,40.50858503376661,46452.96163104725,9.762232984651765,51407.860270765144,1792.3674944397221,10.040505517923844,Local-gov,7th-8th,Widowed,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,Ireland
0.0005742298671975732,0.9994257688522339,66.71721073007949,825542.9443413399,11.898714923590562,93178.27139362892,3108.2935809849723,54.7818572254983,Self-emp-inc,Some-college,Divorced,Transport-moving,Wife,Black,Male,Peru
0.0005776401376351714,0.9994224309921265,88.68339475119338,358286.57127785066,14.70066324466481,33708.769002236026,2898.167588670445,35.61730895796916,Local-gov,Prof-school,Divorced,Exec-managerial,Wife,Other,Female,Cuba
0.0005729899276047945,0.999427080154419,25.09575144052205,1161960.7388342337,11.811640671370002,38461.5213202218,1386.312238662377,39.385587372950276,Federal-gov,5th-6th,Married-spouse-absent,Armed-Forces,Unmarried,Other,Female,France
0.0005747892428189516,0.9994252920150757,22.042618575121175,589728.8051453136,13.467805700326377,43031.064566537156,3134.4627501693385,23.215642380786665,Self-emp-inc,Masters,Married-spouse-absent,Tech-support,Husband,Other,Male,Portugal
0.0005737150786444545,0.9994263648986816,56.48532118491005,227691.94867950605,12.695259978303016,68106.3462196123,1028.9267339983062,75.4469537603113,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,Germany
0.0005685821524821222,0.9994314312934875,84.62643673203733,115857.27270630994,3.172090805305626,15676.945052584977,4272.548318802544,82.46787586554495,Local-gov,Masters,Never-married,Sales,Wife,White,Male,Canada
0.0005733955185860395,0.9994266033172607,65.57401920791995,1427946.695481211,6.69022713995894,38989.06763572172,223.89656032783174,92.8242784841676,State-gov,12th,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,Italy
