priors_count,c_charge_degree,age_cat,sex,race,preds
-1.0280601631395516,F,Less than 25,Male,Other,0.0
2.545356645762348,F,Less than 25,Male,African-American,0.0
2.985604363103371,F,Less than 25,Male,African-American,0.0
6.649268999147992,F,Less than 25,Male,Caucasian,0.0
6.26526794232926,F,25 - 45,Male,African-American,0.0
-0.07920823614132445,F,Less than 25,Male,African-American,0.0
0.02019272212889908,M,Greater than 45,Male,Caucasian,0.0
-1.6376344425750307,F,Less than 25,Male,Caucasian,0.0
1.0316439982241032,F,Less than 25,Male,Caucasian,0.0
2.388695898141272,F,Greater than 45,Male,African-American,0.0
2.7864968726721067,F,25 - 45,Female,African-American,0.0
1.0218841082670476,F,Greater than 45,Female,African-American,0.0
0.18243507772146558,F,25 - 45,Male,Native American,0.0
-0.11269903786410174,F,25 - 45,Male,African-American,0.0
1.3267314088999742,M,25 - 45,Female,Caucasian,0.0
-0.5838665862988086,F,Less than 25,Female,Asian,0.0
-1.2329060664328289,F,Less than 25,Male,African-American,0.0
-0.7396027129039309,M,25 - 45,Female,African-American,0.0
1.6150023969899066,F,25 - 45,Male,African-American,0.0
-0.5149321223280721,F,25 - 45,Male,Other,0.0
0.14308051776397046,F,Less than 25,Male,African-American,0.0
2.61345362909442,F,Less than 25,Male,African-American,0.0
-0.08953988764595544,F,25 - 45,Male,Caucasian,0.0
0.8550951610421812,F,25 - 45,Male,Hispanic,0.0
-0.1445027854209382,F,25 - 45,Female,African-American,0.0
5.066840095073308,F,Less than 25,Male,Hispanic,0.0
2.1281804134453757,F,Less than 25,Male,Caucasian,0.0
-0.5717357374911576,F,25 - 45,Female,African-American,0.0
-0.6798451281535071,F,Less than 25,Male,African-American,0.0
1.2983764654494525,M,25 - 45,Male,Asian,0.0
1.8815684761244023,F,Less than 25,Male,Other,0.0
0.4997344569383798,F,Less than 25,Male,Asian,0.0
4.105448162296178,F,Less than 25,Female,African-American,0.0
0.22726391894718953,F,25 - 45,Male,Caucasian,0.0
1.4879647665073235,F,25 - 45,Male,Caucasian,0.0
-0.7539156493780346,F,Less than 25,Male,Hispanic,0.0
3.5367742512229983,F,Greater than 45,Male,African-American,0.0
3.0455530974750276,F,Less than 25,Male,African-American,0.0
-1.3287080078222102,F,Less than 25,Male,Caucasian,0.0
-2.664449604502509,F,Greater than 45,Male,African-American,0.0
-0.03349670253251169,F,Less than 25,Female,African-American,0.0
7.352459370062641,F,Less than 25,Female,Caucasian,0.0
17.75089602516052,F,25 - 45,Male,Hispanic,0.0
-0.19506840627788066,F,Less than 25,Male,Other,0.0
0.05440550423445963,F,Less than 25,Female,African-American,0.0
3.5756831436787038,M,Less than 25,Female,African-American,0.0
-0.6179723314967253,M,Less than 25,Male,African-American,0.0
0.27331115668063843,F,25 - 45,Male,African-American,0.0
-0.769430101667036,F,25 - 45,Male,African-American,0.0
0.5094024217938391,F,Less than 25,Male,Caucasian,0.0
